Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,2016   Inflation consumer prices (annual %),Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected schooling ,Mean schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Niger,142.0000,3.8560,3.7810,3.9310,0.1708,0.9647,0.3530,61.9000,5.4000,1.7000,889.0000,1.0000,4.0000,29.2314,30.4165,13.8300,34.0580,20.2280
Nigeria,103.0000,4.8750,4.7500,5.0000,15.6969,11.1465,0.5270,53.1000,10.0000,6.0000,5443.0000,-23.0000,6.0000,28.0059,28.0630,5.7670,30.9020,25.1350
Norway,4.0000,7.4980,7.4210,7.5750,3.5500,2.0414,0.9490,81.7000,17.7000,12.7000,67614.0000,5.0000,0.0000,1.7354,2.2820,20.0580,11.8380,-8.2200
Pakistan,92.0000,5.1320,5.0380,5.2260,3.7526,8.0937,0.5500,66.4000,8.1000,5.1000,5031.0000,-10.0000,14.0000,22.3209,25.6690,21.0100,30.8070,9.7970
Panama,25.0000,6.7010,6.6010,6.8010,0.7460,3.2288,0.7880,77.8000,13.0000,9.9000,19470.0000,0.0000,0.0000,27.2175,27.2920,1.1200,27.6710,26.5510
Paraguay,70.0000,5.5380,5.4530,5.6230,4.0868,4.5014,0.6930,73.0000,12.3000,8.1000,8182.0000,3.0000,0.0000,22.8178,22.2185,9.8960,28.3340,18.4380
Peru,64.0000,5.7430,5.6470,5.8390,3.5957,3.1066,0.7400,74.8000,13.4000,9.0000,11295.0000,6.0000,14.0000,19.9763,20.2460,2.3270,20.8710,18.5440
Philippines,82.0000,5.2790,5.1600,5.3980,1.7668,3.1303,0.6820,68.3000,11.7000,9.3000,8395.0000,-7.0000,138.0000,27.4168,27.4370,3.0930,28.6730,25.5800
Poland,57.0000,5.8350,5.7490,5.9210,-0.6097,1.4376,0.8550,77.6000,16.4000,11.9000,24117.0000,11.0000,0.0000,9.2579,11.5650,22.9900,19.5840,-3.4060
Portugal,94.0000,5.1230,5.0300,5.2160,0.6074,1.2744,0.8430,81.2000,16.6000,8.9000,26104.0000,2.0000,1.0000,15.8893,14.5805,14.3720,23.6910,9.3190
Qatar,36.0000,6.3750,6.1780,6.5720,2.8755,1.7616,0.8560,78.3000,13.4000,9.8000,129916.0000,-32.0000,0.0000,28.5738,29.6300,18.2850,37.0700,18.7850
Romania,71.0000,5.5280,5.4270,5.6290,-1.5384,2.5912,0.8020,74.8000,14.7000,10.8000,19428.0000,11.0000,0.0000,11.6455,14.1310,23.2910,21.6070,-1.6840
Russia,56.0000,5.8560,5.7890,5.9230,7.0498,8.2174,0.8040,70.3000,15.0000,12.0000,23286.0000,1.0000,71.0000,-2.2631,1.6635,41.5810,16.0510,-25.5300
Rwanda,152.0000,3.5150,3.4440,3.5860,5.7255,4.0733,0.4980,64.7000,10.8000,3.8000,1617.0000,14.0000,16.0000,20.1039,20.0340,1.9590,21.0800,19.1210
Saudi Arabia,34.0000,6.3790,6.2870,6.4710,3.5235,3.7054,0.8470,74.4000,16.1000,9.6000,51320.0000,-26.0000,2.0000,27.7408,29.0105,18.7590,35.7060,16.9470
Senegal,128.0000,4.2190,4.1510,4.2870,0.8348,0.9503,0.4940,66.9000,9.5000,2.8000,2250.0000,3.0000,2.0000,29.3015,29.9280,8.2730,32.7760,24.5030
Serbia,86.0000,5.1770,5.0830,5.2710,1.1223,5.2717,0.7760,75.0000,14.4000,10.8000,12202.0000,22.0000,193.0000,12.8436,14.8465,22.4880,23.0770,0.5890
Sierra Leone,111.0000,4.6350,4.5050,4.7650,10.8833,8.2504,0.4200,51.3000,9.5000,3.3000,1529.0000,-1.0000,9.0000,26.9480,27.1545,3.5960,28.6740,25.0780
Singapore,22.0000,6.7390,6.6740,6.8040,-0.5025,2.1382,0.9250,83.2000,15.4000,11.6000,78162.0000,-3.0000,0.0000,27.6029,27.6270,2.0990,28.6620,26.5630
Slovakia,45.0000,6.0780,5.9960,6.1600,-0.5200,1.2802,0.8450,76.4000,15.0000,12.2000,26764.0000,1.0000,0.0000,9.6856,11.6370,21.9650,19.6310,-2.3340
Slovenia,63.0000,5.7680,5.6830,5.8530,-0.0567,1.0908,0.8900,80.6000,17.3000,12.1000,28664.0000,13.0000,187.0000,11.7448,12.8990,21.8510,22.3810,0.5300
South Africa,116.0000,4.4590,4.3710,4.5470,6.3263,5.3778,0.6660,57.7000,13.0000,10.3000,12087.0000,-30.0000,16.0000,17.3254,16.1350,11.6160,23.6370,12.0210
