Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,"2016   Inflation, consumer prices (annual %)",Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Switzerland,2,7.509,7.428,7.59,-0.434632563,-0.224534519,0.939,83.1,16,13.4,"56,364",7,0,8.1775,8.385,21.44,18.905,-2.535
Syria,156,3.069,2.936,3.202,15.28429102,15.28429102,0.536,69.7,9,5.1,"2,441",13,19,20.021125,20.5535,22.035,29.777,7.742
Tajikistan,100,4.996,4.923,5.069,6.004580823,6.787927795,0.627,69.6,11.3,10.4,"2,601",30,22,6.562625,8.26,27.205,17.556,-9.649
Tanzania,149,3.666,3.561,3.771,5.170320175,8.521816398,0.531,65.5,8.9,5.8,"2,467",10,4,22.77275,22.699,3.29,24.29,21
Thailand,33,6.474,6.396,6.552,0.188334903,1.920918598,0.74,74.6,13.6,7.9,"14,519",-11,1,27.864875,27.9445,5.512,29.885,24.373
Togo,155,3.303,3.192,3.414,0.854424699,1.804998826,0.487,60.2,12,4.7,"1,262",18,3,27.718,27.764,5.181,30.312,25.131
Tunisia,98,5.045,4.965,5.125,3.711014607,4.628984604,0.725,75,14.6,7.1,"10,249",3,1,21.887125,22.3255,19.339,31.156,11.817
Turkey,78,5.389,5.295,5.483,7.775134153,7.96050638,0.767,75.5,14.6,7.9,"18,705",-7,0,14.026625,14.812,21.736,23.839,2.103
Uganda,145,3.739,3.629,3.849,5.464428082,7.744290524,0.493,59.2,10,5.7,"1,670",8,26,24.024625,23.587,2.405,25.29,22.885
Ukraine,123,4.324,4.236,4.412,13.89503782,13.20366854,0.743,71.1,15.3,11.3,"7,361",34,4,10.9135,14.3245,24.37,20.9,-3.47
United Arab Emirates,28,6.573,6.494,6.652,1.617876882,1.650296528,0.84,77.1,13.3,9.5,"66,203",-35,0,29.370625,30.962,16.903,36.696,19.793
United Kingdom,23,6.725,6.647,6.803,0.641613199,2.185433716,0.909,80.8,16.3,13.3,"37,931",10,36,8.9975,8.197,12.909,16.26,3.351
United States,13,7.104,7.02,7.188,1.261583206,1.61906975,0.92,79.2,16.5,13.2,"53,245",1,3,11.29711111,14.073,24.229,22.074,-2.155
Uruguay,29,6.545,6.456,6.634,9.639413476,8.375157085,0.795,77.4,15.5,8.6,"19,148",8,0,16.754375,16.266,12.057,23.521,11.464
Venezuela,44,6.084,5.973,6.195,254.9485348,79.26305289,0.767,74.4,14.3,9.4,"15,129",2,1,25.912875,25.717,1.329,26.732,25.403
Vietnam,96,5.061,4.991,5.131,3.243832858,7.347697996,0.683,75.9,12.6,8,"5,335",18,0,25.232125,26.4565,7.738,27.623,19.885
Yemen,147,3.724,3.621,3.827,11.93539014,11.93539014,0.482,64.1,9,3,"2,300",-4,20,28.12975,30.0215,10.758,32.325,21.567
Zambia,106,4.795,4.645,4.945,17.86996005,9.181737483,0.579,60.8,12.5,6.9,"3,464",7,4,21.196,21.2985,5.37,23.636,18.266
Zimbabwe,131,4.193,4.101,4.285,-1.55978908,1.098580063,0.516,59.2,10.3,7.7,"1,588",20,3,20.71075,20.4505,7.075,24.075,17
